dataset,encoder,norm,ridge_mean,ridge_std,svr_mean,svr_std,mlp_mean,mlp_std,mm_raw_r2_mean,mm_raw_r2_std,mm_sigma_r2_mean,mm_sigma_r2_std,mm_raw_rho_mean,mm_raw_rho_std,mm_sigma_rho_mean,mm_sigma_rho_std,logreg_mean,logreg_std
glasgow_5553,MiniLM-384,concreteness,0.7189,0.0186,0.7660,0.0193,0.7278,0.0176,0.6410,0.0360,0.6887,0.0266,0.8074,0.0216,0.8340,0.0150,0.8518,0.0091
glasgow_5553,MiniLM-384,imageability,0.6568,0.0194,0.7091,0.0159,0.6642,0.0215,0.5611,0.0289,0.6318,0.0267,0.7583,0.0193,0.8028,0.0150,0.8257,0.0153
glasgow_5553,MiniLM-384,valence,0.6217,0.0223,0.6961,0.0164,0.6809,0.0209,0.5038,0.0290,0.5306,0.0301,0.6955,0.0244,0.7376,0.0251,0.7763,0.0137
glasgow_5553,MiniLM-384,aoa,0.5598,0.0158,0.6287,0.0171,0.5585,0.0176,0.4357,0.0107,0.5237,0.0213,0.6592,0.0106,0.7299,0.0145,0.7726,0.0073
glasgow_5553,MiniLM-384,semsize,0.5824,0.0091,0.6689,0.0079,0.6125,0.0122,0.4669,0.0211,0.5466,0.0082,0.6880,0.0199,0.7493,0.0089,0.7825,0.0096
glasgow_5553,MiniLM-384,gender,0.5081,0.0391,0.6063,0.0294,0.5447,0.0174,0.3872,0.0500,0.4287,0.0479,0.6271,0.0357,0.6658,0.0279,0.7493,0.0213
glasgow_5553,MiniLM-384,familiarity,0.4612,0.0345,0.5224,0.0201,0.4329,0.0357,0.3599,0.0187,0.4346,0.0297,0.6194,0.0240,0.6897,0.0315,0.7592,0.0148
glasgow_5553,MiniLM-384,arousal,0.4676,0.0215,0.5711,0.0127,0.4865,0.0141,0.3490,0.0283,0.4256,0.0221,0.5739,0.0219,0.6496,0.0186,0.7328,0.0179
glasgow_5553,MiniLM-384,dominance,0.4563,0.0272,0.5455,0.0240,0.4758,0.0287,0.3548,0.0333,0.3945,0.0286,0.5739,0.0363,0.6191,0.0225,0.7129,0.0144
glasgow_5553,EmbGemma-768,concreteness,0.8471,0.0125,0.8651,0.0093,0.8560,0.0094,0.7414,0.0235,0.7994,0.0187,0.8640,0.0131,0.8878,0.0089,0.8734,0.0159
glasgow_5553,EmbGemma-768,imageability,0.7935,0.0077,0.8183,0.0100,0.8028,0.0083,0.6890,0.0225,0.7500,0.0125,0.8343,0.0134,0.8669,0.0063,0.8531,0.0097
glasgow_5553,EmbGemma-768,valence,0.8262,0.0103,0.8624,0.0053,0.8464,0.0089,0.7262,0.0112,0.6605,0.0157,0.8272,0.0147,0.8354,0.0103,0.8253,0.0064
glasgow_5553,EmbGemma-768,aoa,0.7011,0.0129,0.7196,0.0152,0.7140,0.0138,0.3544,0.0135,0.6467,0.0176,0.5861,0.0092,0.8120,0.0102,0.8147,0.0132
glasgow_5553,EmbGemma-768,semsize,0.7548,0.0106,0.7984,0.0133,0.7771,0.0116,0.5399,0.0255,0.6757,0.0177,0.7314,0.0228,0.8357,0.0126,0.8250,0.0126
glasgow_5553,EmbGemma-768,gender,0.7241,0.0275,0.7709,0.0195,0.7485,0.0340,0.4174,0.0389,0.5729,0.0373,0.6960,0.0303,0.7782,0.0193,0.8017,0.0035
glasgow_5553,EmbGemma-768,familiarity,0.5885,0.0272,0.6005,0.0248,0.5901,0.0302,0.3464,0.0373,0.5531,0.0342,0.6241,0.0303,0.7726,0.0236,0.7857,0.0175
glasgow_5553,EmbGemma-768,arousal,0.6578,0.0307,0.7148,0.0236,0.6648,0.0267,0.5026,0.0127,0.5766,0.0327,0.6919,0.0141,0.7614,0.0225,0.7843,0.0147
